id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
3619,9781,0.0019,0.7180,0.6790,0.0104,-5.8990,157.9700,0.2050
3620,9782,0.1680,0.6020,0.7230,0.0000,-3.0210,122.8120,0.2930
3621,9783,0.3690,0.6890,0.4810,0.0000,-7.5030,80.0250,0.2830
3622,9784,0.0598,0.6470,0.8230,0.0000,-5.2310,99.9330,0.3960
2533,8687,0.4480,0.5990,0.7850,0.0034,-4.0130,140.0460,0.5200
2534,8688,0.1060,0.9510,0.6000,0.0000,-4.6750,125.0400,0.8220
2535,8689,0.0569,0.8080,0.9700,0.0001,-6.0980,114.3280,0.8680
2536,8690,0.6330,0.6750,0.4790,0.0000,-9.8700,81.9980,0.4540
2537,8691,0.2840,0.7780,0.8240,0.0000,-5.8920,100.0240,0.7560
2538,8692,0.0058,0.7060,0.8010,0.0000,-6.3330,100.0130,0.6300
2539,8693,0.0505,0.8550,0.5870,0.0071,-4.5890,111.9700,0.6400
2540,8694,0.1890,0.7880,0.7980,0.0000,-4.6800,143.0510,0.8360
2541,8695,0.0584,0.9670,0.5830,0.0000,-5.5620,117.0000,0.9640
2542,8696,0.0701,0.7020,0.8900,0.0000,-3.7940,166.1150,0.8870
2543,8697,0.0717,0.7260,0.7000,0.0000,-5.8810,146.5580,0.6730
2544,8698,0.0419,0.8630,0.5140,0.0000,-7.2430,82.9850,0.8430
2545,8699,0.0220,0.5920,0.7290,0.0000,-4.1560,116.0300,0.7090
2546,8700,0.3520,0.8030,0.4540,0.0000,-4.8020,99.9900,0.7390
2547,8701,0.1520,0.5650,0.8170,0.0000,-4.3380,210.8490,0.4780
2548,8702,0.0246,0.8460,0.4820,0.0000,-6.7210,100.9690,0.2120
2549,8703,0.2460,0.4520,0.5740,0.0000,-8.3360,92.7910,0.5800
2550,8704,0.0986,0.8880,0.5770,0.0000,-7.7020,84.0030,0.6090
2551,8705,0.0040,0.6770,0.6710,0.0001,-4.9050,137.0460,0.5270
2552,8706,0.0737,0.5660,0.8150,0.0000,-4.4810,169.9610,0.6720
2553,8707,0.0001,0.5260,0.9200,0.0000,-3.8660,109.8600,0.6150
2554,8708,0.2160,0.7690,0.6090,0.0000,-5.8940,90.9510,0.6330
2555,8709,0.0170,0.5530,0.8650,0.0000,-4.7510,96.1610,0.7350
2556,8710,0.0065,0.8350,0.7570,0.0000,-5.0290,82.0380,0.6260
2557,8711,0.0820,0.8860,0.6200,0.0000,-5.8540,76.0350,0.6000
2558,8712,0.0088,0.5370,0.6740,0.0000,-5.1340,136.0020,0.3300
2559,8713,0.2690,0.6400,0.7430,0.0000,-4.0800,122.0350,0.3610
2560,8714,0.8390,0.5880,0.3910,0.0000,-8.5960,144.0530,0.3490
2561,8715,0.3020,0.5690,0.5460,0.0000,-6.2620,104.0070,0.2050
2562,8716,0.0217,0.4760,0.7360,0.0000,-5.3800,129.0840,0.2510
2563,8717,0.0048,0.6410,0.9690,0.0000,-5.3440,142.0410,0.4890
2564,8718,0.0038,0.8620,0.7420,0.0086,-4.7220,127.9100,0.5110
2565,8719,0.0052,0.6200,0.9610,0.0000,-3.1980,114.4480,0.4490
2566,8720,0.0192,0.6460,0.6960,0.0000,-5.5720,92.8800,0.6250
2567,8721,0.1490,0.4640,0.5980,0.0000,-6.7900,79.7320,0.6120
2568,8722,0.0160,0.6400,0.6200,0.0000,-5.9310,129.3700,0.6090
2569,8723,0.0670,0.7110,0.7610,0.0000,-3.0400,95.8240,0.7180
2570,8724,0.0009,0.5130,0.8770,0.0002,-3.7560,145.9190,0.3890
2571,8725,0.2540,0.5830,0.5840,0.0000,-5.3620,140.0390,0.1360
2572,8726,0.2830,0.5480,0.5540,0.0000,-6.4080,79.9180,0.3820
2573,8727,0.0054,0.7310,0.3680,0.0000,-10.3800,145.1710,0.5120
2574,8728,0.1110,0.8020,0.6820,0.0000,-5.9240,123.9500,0.5860
2575,8729,0.2620,0.6840,0.8190,0.0020,-3.3090,179.9990,0.2500
2576,8730,0.1190,0.5360,0.6120,0.0000,-5.8470,86.7680,0.5700
2577,8731,0.0179,0.7440,0.9030,0.0000,-4.4680,115.9900,0.9220
2578,8732,0.0351,0.8910,0.4390,0.0000,-7.9940,77.4990,0.6220
2579,8733,0.0155,0.5510,0.8100,0.0000,-4.3650,73.4640,0.3320
2580,8734,0.0003,0.4690,0.9550,0.0000,-4.2530,143.8530,0.4620
2581,8735,0.0007,0.4410,0.8150,0.0000,-4.0880,164.0210,0.5220
2582,8736,0.0422,0.7000,0.5290,0.0000,-6.8160,143.5550,0.3860
